tag,aega_on,aega_min,aega_max,aega_step,pc,pm_high,pm_low,sbx_eta_rw,pm_eta_rw,hv,igd,wall_s,cpu_s
aega_200_260_40,1,200,260,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.008,0.935
aega_200_280_10,1,200,280,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.916,0.908
aega_200_280_20,1,200,280,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.964,0.935
aega_200_280_30,1,200,280,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.916,0.909
aega_200_280_40,1,200,280,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.954,0.934
aega_200_300_10,1,200,300,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.983,0.954
aega_200_300_20,1,200,300,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.928,0.919
aega_200_300_30,1,200,300,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.911,0.906
aega_200_300_40,1,200,300,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.927,0.921
aega_200_320_10,1,200,320,10,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.953,0.928
aega_200_320_20,1,200,320,20,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.922,0.913
aega_200_320_30,1,200,320,30,0.95,0.45,0.10,2.0,5,0.839375,0.172769,0.955,0.932
aega_200_320_40,1,200,320,40,0.95,0.45,0.10,2.0,5,0.839375,0.172769,1.028,0.959
aega_220_240_10,1,220,240,10,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.016,1.012
aega_220_240_20,1,220,240,20,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.146,1.032
aega_220_260_10,1,220,260,10,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.019,1.012
aega_220_260_20,1,220,260,20,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.066,1.042
aega_220_260_30,1,220,260,30,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.066,1.045
aega_220_260_40,1,220,260,40,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.060,1.023
aega_220_280_10,1,220,280,10,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.005,1.001
aega_220_280_20,1,220,280,20,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.008,1.004
aega_220_280_30,1,220,280,30,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.042,1.021
aega_220_280_40,1,220,280,40,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.011,1.006
aega_220_300_10,1,220,300,10,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.049,1.029
aega_220_300_20,1,220,300,20,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.029,1.019
aega_220_300_30,1,220,300,30,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.040,1.025
aega_220_300_40,1,220,300,40,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.017,1.011
aega_220_320_10,1,220,320,10,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.008,1.004
aega_220_320_20,1,220,320,20,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.045,1.022
aega_220_320_30,1,220,320,30,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.020,1.013
aega_220_320_40,1,220,320,40,0.95,0.45,0.10,2.0,5,0.883242,0.150783,1.047,1.030
