tag,aega_min,aega_max,aega_step,pc,pm_high,pm_low,sbx_eta_rw,pm_eta_rw,hv,igd,wall_s,cpu_s
aega_180_260_20_pc0.95_pm0.50_0.10_rw2.0_3,180,260,20,0.95,0.50,0.10,2.0,3,0.275465,0.568400,0.585,0.583
aega_180_260_20_pc0.95_pm0.50_0.10_rw2.0_5,180,260,20,0.95,0.50,0.10,2.0,5,0.721879,0.209144,0.691,0.671
aega_180_260_20_pc0.95_pm0.50_0.10_rw2.0_8,180,260,20,0.95,0.50,0.10,2.0,8,0.443871,0.398161,0.605,0.601
aega_180_260_20_pc0.95_pm0.50_0.10_rw2.5_3,180,260,20,0.95,0.50,0.10,2.5,3,0.699823,0.224997,0.659,0.656
aega_180_260_20_pc0.95_pm0.50_0.10_rw2.5_5,180,260,20,0.95,0.50,0.10,2.5,5,0.559644,0.351216,0.675,0.660
aega_180_260_20_pc0.95_pm0.50_0.10_rw2.5_8,180,260,20,0.95,0.50,0.10,2.5,8,0.557489,0.355264,0.645,0.642
aega_180_260_20_pc0.95_pm0.50_0.10_rw3.0_3,180,260,20,0.95,0.50,0.10,3.0,3,0.721327,0.209190,0.695,0.679
aega_180_260_20_pc0.95_pm0.50_0.10_rw3.0_5,180,260,20,0.95,0.50,0.10,3.0,5,0.702897,0.222489,0.662,0.658
aega_180_260_20_pc0.95_pm0.50_0.10_rw3.0_8,180,260,20,0.95,0.50,0.10,3.0,8,0.702352,0.223222,0.648,0.644
aega_180_260_20_pc0.98_pm0.40_0.08_rw1.5_3,180,260,20,0.98,0.40,0.08,1.5,3,0.730849,0.205781,0.693,0.679
aega_180_260_20_pc0.98_pm0.40_0.08_rw1.5_5,180,260,20,0.98,0.40,0.08,1.5,5,0.703392,0.222953,0.642,0.639
aega_180_260_20_pc0.98_pm0.40_0.08_rw1.5_8,180,260,20,0.98,0.40,0.08,1.5,8,0.564203,0.346966,0.692,0.668
aega_180_260_20_pc0.98_pm0.40_0.08_rw2.0_3,180,260,20,0.98,0.40,0.08,2.0,3,0.702768,0.222607,0.651,0.648
aega_180_260_20_pc0.98_pm0.40_0.08_rw2.0_5,180,260,20,0.98,0.40,0.08,2.0,5,0.559642,0.353044,0.663,0.658
